Kind            Lexeme                         Line   Col   
--------------- ------------------------------ ------ ------
Keyword         int                            1      1     
Ident           global_count                   1      5     
Assign          =                              1      18    
IntLiteral      3                              1      20    
Semicolon       ;                              1      21    
Keyword         float                          2      1     
Ident           scale                          2      7     
Assign          =                              2      13    
FloatLiteral    1.5                            2      15    
Semicolon       ;                              2      18    
Keyword         const                          3      1     
Keyword         int                            3      7     
Ident           max_value                      3      11    
Assign          =                              3      21    
IntLiteral      100                            3      23    
Semicolon       ;                              3      26    
Keyword         const                          4      1     
Keyword         float                          4      7     
Ident           default_bias                   4      13    
Assign          =                              4      26    
FloatLiteral    0.25                           4      28    
Semicolon       ;                              4      32    
Keyword         const                          5      1     
Keyword         int                            5      7     
Ident           offsets                        5      11    
LBracket        [                              5      18    
IntLiteral      3                              5      19    
RBracket        ]                              5      20    
Assign          =                              5      22    
LBrace          {                              5      24    
IntLiteral      2                              5      25    
Comma           ,                              5      26    
IntLiteral      4                              5      28    
Comma           ,                              5      29    
IntLiteral      6                              5      31    
RBrace          }                              5      32    
Semicolon       ;                              5      33    
Keyword         int                            6      1     
Ident           numbers                        6      5     
LBracket        [                              6      12    
IntLiteral      5                              6      13    
RBracket        ]                              6      14    
Assign          =                              6      16    
LBrace          {                              6      18    
IntLiteral      1                              6      19    
Comma           ,                              6      20    
IntLiteral      2                              6      22    
Comma           ,                              6      23    
IntLiteral      3                              6      25    
Comma           ,                              6      26    
IntLiteral      4                              6      28    
Comma           ,                              6      29    
IntLiteral      5                              6      31    
RBrace          }                              6      32    
Semicolon       ;                              6      33    
Keyword         int                            8      1     
Ident           add                            8      5     
LParen          (                              8      8     
Keyword         int                            8      9     
Ident           lhs                            8      13    
Comma           ,                              8      16    
Keyword         int                            8      18    
Ident           rhs                            8      22    
RParen          )                              8      25    
LBrace          {                              8      27    
Keyword         return                         9      5     
Ident           lhs                            9      12    
Plus            +                              9      16    
Ident           rhs                            9      18    
Semicolon       ;                              9      21    
RBrace          }                              10     1     
Keyword         int                            12     1     
Ident           sum_array                      12     5     
LParen          (                              12     14    
Keyword         int                            12     15    
Ident           arr                            12     19    
LBracket        [                              12     22    
RBracket        ]                              12     23    
Comma           ,                              12     24    
Keyword         int                            12     26    
Ident           n                              12     30    
RParen          )                              12     31    
LBrace          {                              12     33    
Keyword         int                            13     5     
Ident           i                              13     9     
Assign          =                              13     11    
IntLiteral      0                              13     13    
Semicolon       ;                              13     14    
Keyword         int                            14     5     
Ident           total                          14     9     
Assign          =                              14     15    
IntLiteral      0                              14     17    
Semicolon       ;                              14     18    
Keyword         while                          15     5     
LParen          (                              15     11    
Ident           i                              15     12    
Lt              <                              15     14    
Ident           n                              15     16    
RParen          )                              15     17    
LBrace          {                              15     19    
Ident           total                          16     9     
Assign          =                              16     15    
Ident           total                          16     17    
Plus            +                              16     23    
Ident           arr                            16     25    
LBracket        [                              16     28    
Ident           i                              16     29    
RBracket        ]                              16     30    
Semicolon       ;                              16     31    
Ident           i                              17     9     
Assign          =                              17     11    
Ident           i                              17     13    
Plus            +                              17     15    
